Gene stable ID	Gene stable ID version	Mouse gene name	Gene name
ENSDARG00000028000	ENSDARG00000028000.11	Pfkp	pfkpa
ENSDARG00000052242	ENSDARG00000052242.7	Aff2	aff2
ENSDARG00000102221	ENSDARG00000102221.3	Hacd4	HACD4
ENSDARG00000071458	ENSDARG00000071458.6	BC034090	si:dkey-121a11.3
ENSDARG00000093199	ENSDARG00000093199.4	Pzp	si:ch211-212c13.10
ENSDARG00000093199	ENSDARG00000093199.4	A2ml1	si:ch211-212c13.10
ENSDARG00000093199	ENSDARG00000093199.4	Mug2	si:ch211-212c13.10
ENSDARG00000093199	ENSDARG00000093199.4	Mug1	si:ch211-212c13.10
ENSDARG00000093199	ENSDARG00000093199.4	Gm7298	si:ch211-212c13.10
ENSDARG00000098100	ENSDARG00000098100.2		BX248243.1
ENSDARG00000033380	ENSDARG00000033380.7		gyg2
ENSDARG00000104691	ENSDARG00000104691.2	Cd79b	cd79b
ENSDARG00000054202	ENSDARG00000054202.6	Mbl2	hbl4
ENSDARG00000054202	ENSDARG00000054202.6	Mbl1	hbl4
ENSDARG00000058924	ENSDARG00000058924.4	Pou1f1	pou1f1
ENSDARG00000096103	ENSDARG00000096103.2		CU326364.1
ENSDARG00000095439	ENSDARG00000095439.2		BX649490.3
ENSDARG00000061314	ENSDARG00000061314.7	Ngrn	ngrn
ENSDARG00000042983	ENSDARG00000042983.9	Has1	has1
ENSDARG00000029841	ENSDARG00000029841.9	Tmprss9	tmprss9
ENSDARG00000053828	ENSDARG00000053828.7	Ubxn11	ubxn11
ENSDARG00000037260	ENSDARG00000037260.8	Toporsl	toporsa
ENSDARG00000093026	ENSDARG00000093026.2		si:ch211-222n4.2
ENSDARG00000069505	ENSDARG00000069505.4		zgc:136892
ENSDARG00000076997	ENSDARG00000076997.5	Stxbp4	stxbp4
ENSDARG00000005397	ENSDARG00000005397.11	Trim3	trim3b
ENSDARG00000062139	ENSDARG00000062139.7	Eif2ak3	eif2ak3
ENSDARG00000060374	ENSDARG00000060374.7	Ttll11	ttll11
ENSDARG00000061215	ENSDARG00000061215.8	Fam149b	fam149b1
ENSDARG00000067975	ENSDARG00000067975.5		atp5if1a
ENSDARG00000037433	ENSDARG00000037433.7	Fmr1	fmr1
ENSDARG00000020730	ENSDARG00000020730.11	Smpd4	smpd4
ENSDARG00000058563	ENSDARG00000058563.5	Ubox5	ubox5
ENSDARG00000030078	ENSDARG00000030078.5	Crisp4	glipr1b
ENSDARG00000030078	ENSDARG00000030078.5	Glipr1l1	glipr1b
ENSDARG00000030078	ENSDARG00000030078.5	Glipr1l3	glipr1b
ENSDARG00000030078	ENSDARG00000030078.5	Glipr1l2	glipr1b
ENSDARG00000025187	ENSDARG00000025187.6	Six6	six6a
ENSDARG00000060637	ENSDARG00000060637.9	Clstn2	clstn2
ENSDARG00000098627	ENSDARG00000098627.2	Gspt1	gspt1l
ENSDARG00000097702	ENSDARG00000097702.2	Fcrl5	si:ch1073-66l23.1
ENSDARG00000097702	ENSDARG00000097702.2	Fcrls	si:ch1073-66l23.1
ENSDARG00000097702	ENSDARG00000097702.2	Fcrl6	si:ch1073-66l23.1
ENSDARG00000097702	ENSDARG00000097702.2	Fcrl1	si:ch1073-66l23.1
ENSDARG00000074322	ENSDARG00000074322.4	Olfm5	si:ch211-194m7.3
ENSDARG00000063635	ENSDARG00000063635.7	Nrxn1	nrxn1b
ENSDARG00000068265	ENSDARG00000068265.6		tomm5
ENSDARG00000001788	ENSDARG00000001788.9	Atp5o	atp5po
ENSDARG00000094252	ENSDARG00000094252.3		BX649448.4
ENSDARG00000068264	ENSDARG00000068264.6	Grhpr	grhpra
ENSDARG00000079236	ENSDARG00000079236.5		si:dkey-253d23.11
ENSDARG00000051986	ENSDARG00000051986.4	Ndufs8	ndufs8a
ENSDARG00000088357	ENSDARG00000088357.3	Acadl	acadl
ENSDARG00000040683	ENSDARG00000040683.8	Mep1b	MEP1B
ENSDARG00000104351	ENSDARG00000104351.2		CR318589.1
ENSDARG00000100089	ENSDARG00000100089.3	Camk2b	camk2b2
ENSDARG00000095788	ENSDARG00000095788.3	Ghrhr	ghrhrl
ENSDARG00000014161	ENSDARG00000014161.8	Ercc4	ercc4
ENSDARG00000045087	ENSDARG00000045087.9	Cdk5r1	cdk5r1b
ENSDARG00000103196	ENSDARG00000103196.3		zgc:113343
ENSDARG00000073915	ENSDARG00000073915.4		znf1085
ENSDARG00000105276	ENSDARG00000105276.2	Grb2	grb2a
ENSDARG00000052512	ENSDARG00000052512.9	Tsga10	tsga10
ENSDARG00000069469	ENSDARG00000069469.6	Khdrbs2	khdrbs2
ENSDARG00000095722	ENSDARG00000095722.2		CR925709.3
ENSDARG00000105244	ENSDARG00000105244.2		BX649431.3
ENSDARG00000005590	ENSDARG00000005590.11	Mtf2	mtf2
ENSDARG00000070392	ENSDARG00000070392.6		tlr19
ENSDARG00000067950	ENSDARG00000067950.6	Zcchc2	zcchc2
ENSDARG00000058454	ENSDARG00000058454.5	Dynll1	dynll1
ENSDARG00000058454	ENSDARG00000058454.5	BC048507	dynll1
ENSDARG00000078694	ENSDARG00000078694.6	Phlpp1	phlpp1
ENSDARG00000074756	ENSDARG00000074756.6	Tfb2m	tfb2m
ENSDARG00000071084	ENSDARG00000071084.6		wipf1b
ENSDARG00000058064	ENSDARG00000058064.6	Gjb1	cx31.7
ENSDARG00000000229	ENSDARG00000000229.9	Usp49	usp49
ENSDARG00000099902	ENSDARG00000099902.3		il17rc
ENSDARG00000074242	ENSDARG00000074242.5	Serbp1	serbp1a
ENSDARG00000059227	ENSDARG00000059227.8	Fabp1	fabp1b.1
ENSDARG00000025513	ENSDARG00000025513.10		dip2cb
ENSDARG00000061143	ENSDARG00000061143.6	Tapt1	tapt1b
ENSDARG00000103675	ENSDARG00000103675.2		CR854948.1
ENSDARG00000105755	ENSDARG00000105755.2		BX957362.3
ENSDARG00000033361	ENSDARG00000033361.9	Asl	asl
ENSDARG00000101475	ENSDARG00000101475.2		BX649328.2
ENSDARG00000104589	ENSDARG00000104589.2		si:dkey-99n20.6
ENSDARG00000109648	ENSDARG00000109648.1	Olfm5	si:ch211-147m6.1
ENSDARG00000071653	ENSDARG00000071653.6		si:ch73-256j6.2
ENSDARG00000041435	ENSDARG00000041435.5	Uba52	uba52
ENSDARG00000041435	ENSDARG00000041435.5	Gm11808	uba52
ENSDARG00000041435	ENSDARG00000041435.5	Kxd1	uba52
ENSDARG00000102407	ENSDARG00000102407.2	Cep97	cep97
ENSDARG00000025789	ENSDARG00000025789.12		chd4b
ENSDARG00000087107	ENSDARG00000087107.4	Cfap221	si:ch73-222h13.1
ENSDARG00000001939	ENSDARG00000001939.13	B3gat3	b3gat3
ENSDARG00000091932	ENSDARG00000091932.3		si:ch73-25f10.6
ENSDARG00000092533	ENSDARG00000092533.2		si:ch211-133l5.4
ENSDARG00000087674	ENSDARG00000087674.4		si:ch1073-127d16.1
ENSDARG00000097995	ENSDARG00000097995.3		BX571774.1
ENSDARG00000092305	ENSDARG00000092305.5	Poldip2	poldip2
ENSDARG00000023160	ENSDARG00000023160.8	Snrnp40	snrnp40
ENSDARG00000069373	ENSDARG00000069373.7	Crcp	crcp
ENSDARG00000094737	ENSDARG00000094737.2		si:ch211-12e13.12
ENSDARG00000017115	ENSDARG00000017115.10	Kctd10	kctd10
ENSDARG00000076074	ENSDARG00000076074.6	Dda1	dda1
ENSDARG00000087324	ENSDARG00000087324.6		crygm2d1
ENSDARG00000102679	ENSDARG00000102679.3		FP074874.1
ENSDARG00000060884	ENSDARG00000060884.7	Nmur1	nmur1a
ENSDARG00000089162	ENSDARG00000089162.5	Afap1l1	afap1l1a
ENSDARG00000010477	ENSDARG00000010477.10	P2rx3	p2rx3a
ENSDARG00000012306	ENSDARG00000012306.9	Syt13	syt13
ENSDARG00000044976	ENSDARG00000044976.5	Krt19	krt93
ENSDARG00000038743	ENSDARG00000038743.6	Copb2	copb2
ENSDARG00000076376	ENSDARG00000076376.4	Tmem175	tmem175
ENSDARG00000087999	ENSDARG00000087999.4		BX664625.3
ENSDARG00000007396	ENSDARG00000007396.9	Rnd3	rnd3b
ENSDARG00000069407	ENSDARG00000069407.5		zgc:194990
ENSDARG00000091271	ENSDARG00000091271.4	Cenpt	cenpt
ENSDARG00000060597	ENSDARG00000060597.8		zgc:158659
ENSDARG00000113206	ENSDARG00000113206.1		pimr85
ENSDARG00000090993	ENSDARG00000090993.3	Rnf4	rnf4
ENSDARG00000060542	ENSDARG00000060542.7	Lgr4	lgr4
ENSDARG00000069401	ENSDARG00000069401.6		si:dkeyp-114g9.1
ENSDARG00000079552	ENSDARG00000079552.6	Maml3	maml3
ENSDARG00000056210	ENSDARG00000056210.7	Hspa2	hspa1b
ENSDARG00000100835	ENSDARG00000100835.2	Rgs13	RGS13
ENSDARG00000059340	ENSDARG00000059340.7	Dlgap2	dlgap2a
ENSDARG00000105328	ENSDARG00000105328.2	H1f6	si:dkey-23a13.17
ENSDARG00000013926	ENSDARG00000013926.13	Slc16a9	slc16a9a
ENSDARG00000112873	ENSDARG00000112873.1		si:dkey-23f9.11
ENSDARG00000059906	ENSDARG00000059906.7	Sdc4	sdc4
ENSDARG00000096367	ENSDARG00000096367.2	Fnbp1	fnbp1b
ENSDARG00000042496	ENSDARG00000042496.7	Parp12	parp12a
ENSDARG00000090371	ENSDARG00000090371.4		si:dkey-46i9.6
ENSDARG00000096222	ENSDARG00000096222.2		si:ch211-245n8.4
ENSDARG00000012002	ENSDARG00000012002.11	Slc38a7	slc38a7
ENSDARG00000110833	ENSDARG00000110833.1		pimr153
ENSDARG00000091266	ENSDARG00000091266.3	Plscr4	si:ch211-71m22.5
ENSDARG00000091266	ENSDARG00000091266.3	Plscr3	si:ch211-71m22.5
ENSDARG00000091266	ENSDARG00000091266.3	Plscr5	si:ch211-71m22.5
ENSDARG00000071070	ENSDARG00000071070.5	Pthlh	pthlhb
ENSDARG00000017984	ENSDARG00000017984.11	Cd22	zgc:172106
ENSDARG00000055123	ENSDARG00000055123.7	Kcnk2	kcnk2a
ENSDARG00000038095	ENSDARG00000038095.5	Socs1	socs1a
ENSDARG00000097019	ENSDARG00000097019.3		dhrs13b.1
ENSDARG00000062868	ENSDARG00000062868.7	Eea1	eea1
ENSDARG00000007329	ENSDARG00000007329.9		tbx16
ENSDARG00000105757	ENSDARG00000105757.2		or133-5
ENSDARG00000105817	ENSDARG00000105817.2		CR391925.1
ENSDARG00000105741	ENSDARG00000105741.2		or133-6
ENSDARG00000001940	ENSDARG00000001940.11	Dnajc1	dnajc1
ENSDARG00000033949	ENSDARG00000033949.7	Fbxo16	fbxo16
ENSDARG00000096107	ENSDARG00000096107.3		BX649516.4
ENSDARG00000094994	ENSDARG00000094994.4		si:dkey-106c17.2
ENSDARG00000094943	ENSDARG00000094943.2		AL929210.1
ENSDARG00000105115	ENSDARG00000105115.2		si:dkey-57c15.1
ENSDARG00000074564	ENSDARG00000074564.5	Tlcd3b	tlcd3bb
ENSDARG00000102406	ENSDARG00000102406.2	Dst	si:ch211-165e15.1
ENSDARG00000090061	ENSDARG00000090061.4		CR394546.2
ENSDARG00000016307	ENSDARG00000016307.11	Mrpl46	mrpl46
ENSDARG00000029219	ENSDARG00000029219.9	Avpr2	avpr2ab
ENSDARG00000036784	ENSDARG00000036784.5	Commd7	commd7
ENSDARG00000029668	ENSDARG00000029668.7	Crim1	crim1
ENSDARG00000104547	ENSDARG00000104547.2		BX005367.1
ENSDARG00000103732	ENSDARG00000103732.2	Plp1	plp1a
ENSDARG00000063634	ENSDARG00000063634.6	Hpse	hpse
ENSDARG00000063553	ENSDARG00000063553.5	Rlf	rlf
ENSDARG00000104141	ENSDARG00000104141.2		si:dkey-262j3.7
ENSDARG00000098193	ENSDARG00000098193.2		znf998
ENSDARG00000030591	ENSDARG00000030591.6	Lrrc42	lrrc42
ENSDARG00000103486	ENSDARG00000103486.2		CT573799.1
ENSDARG00000043402	ENSDARG00000043402.7		zgc:171480
ENSDARG00000015676	ENSDARG00000015676.8	Nmd3	nmd3
ENSDARG00000028159	ENSDARG00000028159.11		tead1a
ENSDARG00000076791	ENSDARG00000076791.5	Cdk13	cdk13
ENSDARG00000095538	ENSDARG00000095538.2		senp3a
ENSDARG00000097414	ENSDARG00000097414.2		si:ch211-106e7.2
ENSDARG00000096449	ENSDARG00000096449.3		si:ch211-194e1.7
ENSDARG00000075405	ENSDARG00000075405.6	Adck5	adck5
ENSDARG00000056833	ENSDARG00000056833.7	Svop	svopa
ENSDARG00000035127	ENSDARG00000035127.4	Rxra	rxrab
ENSDARG00000018721	ENSDARG00000018721.11	Npnt	npnta
ENSDARG00000036329	ENSDARG00000036329.7	Ndufa1	ndufa1
ENSDARG00000088207	ENSDARG00000088207.4		rce1b
ENSDARG00000078149	ENSDARG00000078149.6	Grin2c	grin2ca
ENSDARG00000078326	ENSDARG00000078326.6	Arhgap10	arhgap10
ENSDARG00000077550	ENSDARG00000077550.4	Gcnt4	gcnt4b
ENSDARG00000041155	ENSDARG00000041155.4	Morf4l2	morf4l1
ENSDARG00000000631	ENSDARG00000000631.14	Ptpn4	ptpn4a
ENSDARG00000069250	ENSDARG00000069250.6	Uaca	uacaa
ENSDARG00000071394	ENSDARG00000071394.7		foxq2
ENSDARG00000005468	ENSDARG00000005468.9	Irf2bp1	irf2bp1
ENSDARG00000062943	ENSDARG00000062943.6	Taco1	taco1
ENSDARG00000044781	ENSDARG00000044781.7	Bace2	bace2
ENSDARG00000044755	ENSDARG00000044755.8	Gcnt4	GCNT4
ENSDARG00000017720	ENSDARG00000017720.10	Lrrc8e	si:ch211-106h11.1
ENSDARG00000104038	ENSDARG00000104038.2		znf1023
ENSDARG00000016934	ENSDARG00000016934.12	Ttyh2	ttyh2
ENSDARG00000078014	ENSDARG00000078014.4	Pacsin2	pacsin2
ENSDARG00000089213	ENSDARG00000089213.4	Adam15	adam15
ENSDARG00000057029	ENSDARG00000057029.6	Htr2a	htr2aa
ENSDARG00000045837	ENSDARG00000045837.8	Cd5	si:dkey-14d8.20
ENSDARG00000045837	ENSDARG00000045837.8	Ssc5d	si:dkey-14d8.20
ENSDARG00000045837	ENSDARG00000045837.8	Cd5l	si:dkey-14d8.20
ENSDARG00000045837	ENSDARG00000045837.8	Lgals3bp	si:dkey-14d8.20
ENSDARG00000097640	ENSDARG00000097640.3		BX120006.3
ENSDARG00000056630	ENSDARG00000056630.6		angptl5
ENSDARG00000099107	ENSDARG00000099107.2		FP016019.1
ENSDARG00000005536	ENSDARG00000005536.6	Ubr7	ubr7
ENSDARG00000022795	ENSDARG00000022795.7	Golt1b	golt1ba
ENSDARG00000043710	ENSDARG00000043710.8	Parva	parvaa
ENSDARG00000093227	ENSDARG00000093227.2		AL928845.1
ENSDARG00000029124	ENSDARG00000029124.9	Adamts15	adamts15a
ENSDARG00000063446	ENSDARG00000063446.7	Iba57	iba57
ENSDARG00000062148	ENSDARG00000062148.7	Senp7	si:dkey-100n23.3
ENSDARG00000102786	ENSDARG00000102786.2		BX000696.2
ENSDARG00000090912	ENSDARG00000090912.6	Npc2	npc2
ENSDARG00000093289	ENSDARG00000093289.2	Aspg	si:dkey-9i23.14
ENSDARG00000045785	ENSDARG00000045785.8	4930430F08Rik	C25H12orf29
ENSDARG00000091859	ENSDARG00000091859.4		si:ch73-233m11.2
ENSDARG00000056793	ENSDARG00000056793.5		jazf1b
ENSDARG00000019222	ENSDARG00000019222.7	Mrpl24	mrpl24
ENSDARG00000098624	ENSDARG00000098624.2		traj54
ENSDARG00000110784	ENSDARG00000110784.1		BX681417.5
ENSDARG00000010571	ENSDARG00000010571.13	Ezh2	ezh2
ENSDARG00000004672	ENSDARG00000004672.13	Ptk2	ptk2ab
ENSDARG00000093205	ENSDARG00000093205.3		AL845362.1
ENSDARG00000007709	ENSDARG00000007709.10	Adamts8	adamts8a
ENSDARG00000061021	ENSDARG00000061021.7	Fam160a1	fam160a1a
ENSDARG00000013056	ENSDARG00000013056.6	Itpk1	itpk1a
ENSDARG00000115136	ENSDARG00000115136.1		senp7a
ENSDARG00000004497	ENSDARG00000004497.8	Tspan33	tspan33a
ENSDARG00000056407	ENSDARG00000056407.5	Irf8	irf8
ENSDARG00000091678	ENSDARG00000091678.5	Ints12	ints12
ENSDARG00000109522	ENSDARG00000109522.1		senp7a
ENSDARG00000060853	ENSDARG00000060853.8	Nckap1	nckap1
ENSDARG00000077776	ENSDARG00000077776.4		csnk2b
ENSDARG00000006603	ENSDARG00000006603.9	Csrp1	csrp1a
ENSDARG00000045955	ENSDARG00000045955.8	Gm21973	prlrb
ENSDARG00000045955	ENSDARG00000045955.8	Prlr	prlrb
ENSDARG00000045790	ENSDARG00000045790.7	BC048403	C4H12orf66
ENSDARG00000002021	ENSDARG00000002021.10	Pygb	pygb
ENSDARG00000070536	ENSDARG00000070536.5	Creb5	creb5b
ENSDARG00000079241	ENSDARG00000079241.5	Wdr90	wdr90
ENSDARG00000023903	ENSDARG00000023903.10	Atf2	atf2
ENSDARG00000116676	ENSDARG00000116676.1		pimr25
ENSDARG00000073912	ENSDARG00000073912.5		si:ch211-202h22.7
ENSDARG00000007081	ENSDARG00000007081.10	Pias4	pias4a
ENSDARG00000003475	ENSDARG00000003475.11		sult1st5
ENSDARG00000104228	ENSDARG00000104228.2	Lypla1	lypla1
ENSDARG00000069192	ENSDARG00000069192.5	Cst10	zgc:163030
ENSDARG00000069192	ENSDARG00000069192.5	Cst3	zgc:163030
ENSDARG00000045092	ENSDARG00000045092.8	Cdk5rap3	cdk5rap3
ENSDARG00000037738	ENSDARG00000037738.7	Fbxl21	fbxl3l
ENSDARG00000068085	ENSDARG00000068085.5		CT573494.1
ENSDARG00000018788	ENSDARG00000018788.6	St8sia2	st8sia2
ENSDARG00000102338	ENSDARG00000102338.2	Ptar1	ptar1
ENSDARG00000075963	ENSDARG00000075963.5	Ulbp1	mhc1uba
ENSDARG00000096846	ENSDARG00000096846.2		CU855854.1
ENSDARG00000009950	ENSDARG00000009950.7	Edf1	edf1
ENSDARG00000063357	ENSDARG00000063357.4	Gpr45	GPR45
ENSDARG00000094109	ENSDARG00000094109.3		znf1168
ENSDARG00000099869	ENSDARG00000099869.2		traj4
ENSDARG00000069755	ENSDARG00000069755.6	Mtmr11	mtmr11
ENSDARG00000077275	ENSDARG00000077275.5	Crispld1	crispld1a
ENSDARG00000102566	ENSDARG00000102566.2	Fam102a	fam102aa
ENSDARG00000062594	ENSDARG00000062594.5	Coq7	coq7
ENSDARG00000040278	ENSDARG00000040278.8	Klhl38	klhl38b
ENSDARG00000093997	ENSDARG00000093997.2	Tmem109	si:dkey-9i23.15
ENSDARG00000105466	ENSDARG00000105466.2		si:dkey-125e8.5
ENSDARG00000042072	ENSDARG00000042072.6	Fbxl17	fbxl17
ENSDARG00000014041	ENSDARG00000014041.11	Smarcad1	smarcad1a
ENSDARG00000102533	ENSDARG00000102533.2		si:ch73-281i18.4
ENSDARG00000096995	ENSDARG00000096995.2	Fbxl22	fbxl22
ENSDARG00000025335	ENSDARG00000025335.9	Nek10	nek10
ENSDARG00000041333	ENSDARG00000041333.8		si:dkey-125e8.4
ENSDARG00000062964	ENSDARG00000062964.6		si:dkey-246g23.2
ENSDARG00000074894	ENSDARG00000074894.5	Myorg	myorg
ENSDARG00000100572	ENSDARG00000100572.2		FP085400.1
ENSDARG00000052039	ENSDARG00000052039.9	Casp4	caspb
ENSDARG00000102572	ENSDARG00000102572.4		si:ch211-260e23.9
ENSDARG00000096924	ENSDARG00000096924.2		CU638693.2
ENSDARG00000025212	ENSDARG00000025212.11	Ints11	ints11
ENSDARG00000010572	ENSDARG00000010572.7	Slc25a25	slc25a25a
ENSDARG00000021494	ENSDARG00000021494.11	Hnf4a	hnf4a
ENSDARG00000097606	ENSDARG00000097606.2	Tmem82	tmem82
ENSDARG00000093065	ENSDARG00000093065.3	Ubac2	ubac2
ENSDARG00000016745	ENSDARG00000016745.7	Slc35f6	slc35f6
ENSDARG00000023768	ENSDARG00000023768.9	Mfsd4a	mfsd4aa
ENSDARG00000100021	ENSDARG00000100021.3		plaat1
ENSDARG00000018853	ENSDARG00000018853.9		si:dkey-199f5.8
ENSDARG00000069450	ENSDARG00000069450.4	Gja5	gja5b
ENSDARG00000103199	ENSDARG00000103199.2		si:dkey-247k7.2
ENSDARG00000077513	ENSDARG00000077513.5	Ppp1r3d	ppp1r3da
ENSDARG00000042529	ENSDARG00000042529.7	Gnat2	gnat2
ENSDARG00000087381	ENSDARG00000087381.3	Tcf23	tcf23
ENSDARG00000070045	ENSDARG00000070045.7	Celf4	celf4
ENSDARG00000086941	ENSDARG00000086941.4		pimr14
ENSDARG00000045442	ENSDARG00000045442.8	Cpb1	cpb1
ENSDARG00000061000	ENSDARG00000061000.6		klhdc8a
ENSDARG00000045842	ENSDARG00000045842.7	Tinf2	zgc:113263
ENSDARG00000102716	ENSDARG00000102716.2		AL645691.2
ENSDARG00000042861	ENSDARG00000042861.9		ltk
ENSDARG00000103554	ENSDARG00000103554.3	Notch1	notch1a
ENSDARG00000068557	ENSDARG00000068557.5	Htr5a	htr5ab
ENSDARG00000013058	ENSDARG00000013058.9	Ascc2	ascc2
ENSDARG00000095882	ENSDARG00000095882.2		FP325358.1
ENSDARG00000054423	ENSDARG00000054423.7	Slc7a6	slc7a6
ENSDARG00000029472	ENSDARG00000029472.11	Afdn	afdna
ENSDARG00000070040	ENSDARG00000070040.7		zgc:162344
ENSDARG00000096193	ENSDARG00000096193.2		CR381664.2
ENSDARG00000030116	ENSDARG00000030116.9	Susd6	susd6
ENSDARG00000075898	ENSDARG00000075898.5	Spata7	spata7
ENSDARG00000075919	ENSDARG00000075919.5	Ccser1	ccser1
ENSDARG00000077177	ENSDARG00000077177.4	Map2k4	map2k4b
ENSDARG00000079271	ENSDARG00000079271.4	Cbr2	dcxr
ENSDARG00000079271	ENSDARG00000079271.4	Dcxr	dcxr
ENSDARG00000091988	ENSDARG00000091988.3		BX469885.1
ENSDARG00000045524	ENSDARG00000045524.7	Lamb1	lamb1b
ENSDARG00000079933	ENSDARG00000079933.6	Slc46a3	SLC46A3
ENSDARG00000030765	ENSDARG00000030765.6	Hadh	hadh
ENSDARG00000078433	ENSDARG00000078433.3	Spc25	spc25
ENSDARG00000095838	ENSDARG00000095838.3		CR626882.2
ENSDARG00000030278	ENSDARG00000030278.9	Idh3a	idh3a
ENSDARG00000027016	ENSDARG00000027016.11	Gbf1	gbf1
ENSDARG00000096696	ENSDARG00000096696.3		CR932360.1
ENSDARG00000091972	ENSDARG00000091972.3		si:dkey-58f10.7
ENSDARG00000099330	ENSDARG00000099330.2		si:ch211-246b8.5
ENSDARG00000053358	ENSDARG00000053358.5		basp1
ENSDARG00000093572	ENSDARG00000093572.2		lamc3
ENSDARG00000095651	ENSDARG00000095651.2	Hmx1	hmx1
ENSDARG00000100148	ENSDARG00000100148.2		znf1150
ENSDARG00000043279	ENSDARG00000043279.8	Aqp12	aqp12
ENSDARG00000104889	ENSDARG00000104889.2	Kpnb1	kpnb1
ENSDARG00000017299	ENSDARG00000017299.8	Fabp12	fabp11a
ENSDARG00000017299	ENSDARG00000017299.8	Fabp5	fabp11a
ENSDARG00000017299	ENSDARG00000017299.8	Gm37389	fabp11a
ENSDARG00000017299	ENSDARG00000017299.8	Fabp9	fabp11a
ENSDARG00000017299	ENSDARG00000017299.8	Pmp2	fabp11a
ENSDARG00000095606	ENSDARG00000095606.3		si:dkeyp-51f12.2
ENSDARG00000058598	ENSDARG00000058598.7		sox18
ENSDARG00000096595	ENSDARG00000096595.2		BX296516.1
ENSDARG00000009281	ENSDARG00000009281.12	Dnm1	dnm1b
ENSDARG00000096791	ENSDARG00000096791.2		si:ch73-344o19.1
ENSDARG00000094327	ENSDARG00000094327.3	Spata1	SPATA1
ENSDARG00000007247	ENSDARG00000007247.12	Ric8a	ric8a
ENSDARG00000055648	ENSDARG00000055648.7	Cpd	cpda
ENSDARG00000100919	ENSDARG00000100919.2	Slc5a2	slc5a2
ENSDARG00000061883	ENSDARG00000061883.8		olfcq6
ENSDARG00000095850	ENSDARG00000095850.2		CU672266.2
ENSDARG00000010710	ENSDARG00000010710.10	Msi1	msi1
ENSDARG00000087046	ENSDARG00000087046.6		si:ch211-222k6.2
ENSDARG00000004692	ENSDARG00000004692.8	Nabp1	nabp1a
ENSDARG00000104372	ENSDARG00000104372.2	Gnb1	gnb1b
ENSDARG00000095895	ENSDARG00000095895.2		BX571828.1
ENSDARG00000101975	ENSDARG00000101975.2		si:dkey-225f5.4
ENSDARG00000046087	ENSDARG00000046087.9	Brd2	brd2b
ENSDARG00000071823	ENSDARG00000071823.8	Adarb2	adarb2
ENSDARG00000079423	ENSDARG00000079423.6		npbwr2a
ENSDARG00000042821	ENSDARG00000042821.8	Agps	agps
ENSDARG00000030789	ENSDARG00000030789.7	Ddx18	ddx18
ENSDARG00000022810	ENSDARG00000022810.9		fzr1b
ENSDARG00000006279	ENSDARG00000006279.9	Rragd	rragd
ENSDARG00000053956	ENSDARG00000053956.7	Sptbn2	sptbn2
ENSDARG00000055092	ENSDARG00000055092.6	Por	pora
ENSDARG00000052438	ENSDARG00000052438.6	Actr2	actr2a
ENSDARG00000095266	ENSDARG00000095266.4		AL928866.1
ENSDARG00000055158	ENSDARG00000055158.9	Prox1	prox1a
ENSDARG00000105306	ENSDARG00000105306.2		si:dkeyp-44b5.5
ENSDARG00000105137	ENSDARG00000105137.2		zgc:173705
ENSDARG00000056381	ENSDARG00000056381.6	Cfap97	cfap97
ENSDARG00000079122	ENSDARG00000079122.5	Tmx2	tmx2a
ENSDARG00000019365	ENSDARG00000019365.8		krt99
ENSDARG00000036073	ENSDARG00000036073.8		cebpg
ENSDARG00000037677	ENSDARG00000037677.7		fgf24
ENSDARG00000098712	ENSDARG00000098712.2		CR925761.1
ENSDARG00000035131	ENSDARG00000035131.5	Surf4	surf4l
ENSDARG00000058553	ENSDARG00000058553.5	Spr	sprb
ENSDARG00000008153	ENSDARG00000008153.11	Serinc5	serinc5
ENSDARG00000095454	ENSDARG00000095454.2		si:dkey-19a16.13
ENSDARG00000040141	ENSDARG00000040141.7		si:ch73-138e16.5
ENSDARG00000070966	ENSDARG00000070966.5	Insl5	insl5a
ENSDARG00000042566	ENSDARG00000042566.7	Rps7	rps7
ENSDARG00000039682	ENSDARG00000039682.8		si:ch211-121a2.2
ENSDARG00000007727	ENSDARG00000007727.9		rgl2
ENSDARG00000071203	ENSDARG00000071203.5	Sptssa	sptssa
ENSDARG00000105421	ENSDARG00000105421.2		BX324006.1
ENSDARG00000076735	ENSDARG00000076735.5	Cspg4b	si:dkey-193c22.2
ENSDARG00000078177	ENSDARG00000078177.5		cxcr3.1
ENSDARG00000027749	ENSDARG00000027749.9	Hirip3	hirip3
ENSDARG00000012347	ENSDARG00000012347.9	Nacad	nacad
ENSDARG00000102717	ENSDARG00000102717.2	Tmem42	tmem42a
ENSDARG00000019360	ENSDARG00000019360.11	Sec23b	sec23b
ENSDARG00000095673	ENSDARG00000095673.3	Ifi44	si:dkey-79f11.8
ENSDARG00000095673	ENSDARG00000095673.3	Ifi44l	si:dkey-79f11.8
ENSDARG00000098647	ENSDARG00000098647.4	Ankdd1a	ankdd1a
ENSDARG00000103398	ENSDARG00000103398.2	Fabp1	fabp1b.2
ENSDARG00000091990	ENSDARG00000091990.3		olfck2
ENSDARG00000078853	ENSDARG00000078853.6	Arhgef19	arhgef19
ENSDARG00000060348	ENSDARG00000060348.8	Map3k3	map3k3
ENSDARG00000069828	ENSDARG00000069828.6	Abhd12b	si:ch211-117n7.7
ENSDARG00000100112	ENSDARG00000100112.2		znf1118
